iter	Logloss
0	0.5760634019
1	0.5016329691
2	0.454751169
3	0.4104191027
4	0.3816524511
5	0.3634328674
6	0.3461115001
7	0.3329698989
8	0.3234538931
9	0.3114107441
10	0.3020994464
11	0.2937373446
12	0.2885375047
13	0.2824924348
14	0.2771710561
15	0.2749920296
16	0.2712826067
17	0.2698851327
18	0.2658511241
19	0.2647688283
20	0.2628508209
21	0.2618726249
22	0.2586052987
23	0.2537524971
24	0.2502070852
25	0.2487472872
26	0.2480691322
27	0.2474549298
28	0.2440384768
29	0.2408965003
30	0.2402032666
31	0.2384457305
32	0.237079322
33	0.2331695428
34	0.2291381768
35	0.2283446396
36	0.2255583332
37	0.2250852308
38	0.2227189553
39	0.2219204629
40	0.2212712821
41	0.218964618
42	0.2184450225
43	0.2178605127
44	0.2156508207
45	0.2152785873
46	0.2144226246
47	0.2127378022
48	0.2125531679
49	0.2117939707
50	0.2100471124
51	0.2097817969
52	0.2086808247
53	0.2084020519
54	0.2081588994
55	0.2075083812
56	0.2072390711
57	0.2060552187
58	0.205539039
59	0.20522826
60	0.2050229461
61	0.2043036879
62	0.2038825341
63	0.2036766021
64	0.2034497822
65	0.2033037849
66	0.2017144072
67	0.200527864
68	0.1990365808
69	0.1988965745
70	0.1967620987
71	0.1960225742
72	0.1955743687
73	0.1949571431
74	0.1935878391
75	0.1931856554
76	0.192979463
77	0.1907007516
78	0.1902564516
79	0.1896105588
80	0.1892209297
81	0.1881783351
82	0.1878647673
83	0.1872257113
84	0.1856970691
85	0.1853178782
86	0.1838108611
87	0.1822103074
88	0.181913276
89	0.1798137374
90	0.1790576365
91	0.1788297945
92	0.177941753
93	0.1776471619
94	0.1775102936
95	0.177334416
96	0.1769359744
97	0.1768109939
98	0.1757262736
99	0.1753078294
