iter	Passed	Remaining
0	48	21419
1	102	22394
2	171	24938
3	223	24338
4	277	24140
5	330	23917
6	386	23925
7	437	23624
8	495	23750
9	557	23981
10	609	23757
11	660	23561
12	713	23423
13	767	23350
14	819	23231
15	868	23021
16	922	22956
17	973	22815
18	1022	22660
19	1071	22510
20	1126	22473
21	1184	22511
22	1250	22665
23	1321	22907
24	1373	22799
25	1440	22937
26	1489	22787
27	1538	22638
28	1587	22495
29	1638	22391
30	1685	22241
31	1739	22174
32	1788	22059
33	1834	21907
34	1884	21809
35	1934	21713
36	1984	21612
37	2032	21500
38	2084	21429
39	2134	21341
40	2182	21241
41	2232	21151
42	2281	21064
43	2329	20968
44	2379	20882
45	2430	20814
46	2479	20732
47	2527	20640
48	2576	20556
49	2626	20486
50	2676	20412
51	2725	20338
52	2772	20244
53	2821	20171
54	2871	20097
55	2918	20012
56	2968	19948
57	3016	19868
58	3064	19791
59	3113	19718
60	3160	19636
61	3208	19561
62	3258	19496
63	3306	19428
64	3355	19358
65	3404	19290
66	3452	19220
67	3500	19150
68	3548	19078
69	3599	19024
70	3647	18956
71	3697	18899
72	3745	18831
73	3795	18772
74	3844	18708
75	3893	18648
76	3940	18574
77	3990	18520
78	4038	18455
79	4087	18392
80	4136	18335
81	4184	18270
82	4236	18221
83	4284	18157
84	4332	18094
85	4380	18030
86	4428	17968
87	4477	17910
88	4526	17850
89	4575	17794
90	4625	17739
91	4678	17698
92	4729	17646
93	4780	17597
94	4834	17555
95	4883	17500
96	4941	17473
97	4990	17415
98	5038	17353
99	5086	17293
100	5136	17239
101	5185	17181
102	5232	17121
103	5283	17070
104	5332	17011
105	5381	16955
106	5431	16903
107	5479	16845
108	5528	16787
109	5577	16733
110	5626	16675
111	5674	16617
112	5726	16571
113	5776	16520
114	5826	16465
115	5875	16410
116	5926	16360
117	5976	16309
118	6025	16253
119	6074	16197
120	6123	16143
121	6172	16089
122	6220	16032
123	6269	15977
124	6321	15930
125	6371	15877
126	6419	15820
127	6467	15763
128	6515	15708
129	6565	15655
130	6614	15602
131	6662	15546
132	6713	15496
133	6762	15442
134	6808	15382
135	6859	15333
136	6908	15278
137	6957	15224
138	7005	15170
139	7053	15114
140	7102	15061
141	7152	15009
142	7201	14956
143	7251	14906
144	7299	14851
145	7347	14796
146	7396	14742
147	7445	14689
148	7501	14649
149	7549	14595
150	7597	14540
151	7646	14488
152	7694	14434
153	7743	14380
154	7792	14327
155	7841	14274
